time,base_volume,quote_volume,close,high,low,open,symbol,tradecount
2021-05-08 00:00:00,4096.4326,2555094.869509,623.26,624.62,622.72,624.3,BNB/USDT,2112
2021-05-07 23:00:00,62601.9878,39017034.343191,624.3,625.56,617.2,617.84,BNB/USDT,41939
2021-05-07 22:00:00,119156.9298,73682044.216235,617.83,626.49,613.58,623.2,BNB/USDT,79838
2021-05-07 21:00:00,61818.9528,38594684.413804,623.19,630.98,621.03,630.96,BNB/USDT,59551
2021-05-07 20:00:00,42026.7961,26440593.837772,630.92,631.75,625.5,626.19,BNB/USDT,38353
2021-05-07 19:00:00,69044.9499,43403635.595506,626.2,636.15,625.01,635.26,BNB/USDT,58533
2021-05-07 18:00:00,60544.0831,38460610.17735,635.3,640.39,632.15,640.21,BNB/USDT,50413
2021-05-07 17:00:00,91547.4634,58649682.571217,640.22,644.02,636.57,638.0,BNB/USDT,73352
2021-05-07 16:00:00,87341.2704,55448330.022227,638.0,638.0,630.65,635.95,BNB/USDT,61501
2021-05-07 15:00:00,84750.2347,53836459.302452,635.95,637.59,632.71,635.77,BNB/USDT,55415
2021-05-07 14:00:00,63688.6784,40217465.453649,635.76,635.95,627.78,630.99,BNB/USDT,48332
2021-05-07 13:00:00,70627.4601,44564931.601436,631.0,633.38,627.46,630.66,BNB/USDT,55102
2021-05-07 12:00:00,83152.3386,52122881.872878,630.71,631.0,622.24,625.13,BNB/USDT,55069
2021-05-07 11:00:00,52124.7059,32607904.348724,625.13,628.76,622.05,623.61,BNB/USDT,44688
2021-05-07 10:00:00,88117.9991,55266952.704377,623.61,630.63,623.6,623.66,BNB/USDT,58160
2021-05-07 09:00:00,67122.1107,41879431.747659,623.65,625.72,621.86,622.64,BNB/USDT,48162
2021-05-07 08:00:00,79224.4178,49185082.069582,622.62,623.45,618.51,620.97,BNB/USDT,52985
2021-05-07 07:00:00,82776.5553,51531691.139839,620.98,625.45,619.9,624.41,BNB/USDT,56846
2021-05-07 06:00:00,70143.0613,43757488.384192,624.41,626.31,619.01,621.64,BNB/USDT,46364
2021-05-07 05:00:00,83451.8798,51899940.411697,621.56,625.77,617.1,618.61,BNB/USDT,51708
2021-05-07 04:00:00,115982.319,71418902.617207,618.6,620.0,611.43,618.74,BNB/USDT,64316
2021-05-07 03:00:00,109108.0715,67409488.768035,618.74,621.0,613.1,616.83,BNB/USDT,62578
2021-05-07 02:00:00,144766.6502,89717282.236993,616.85,628.0,613.2,625.84,BNB/USDT,84476
2021-05-07 01:00:00,84541.1116,52989234.758041,625.84,630.0,622.76,626.97,BNB/USDT,55484
2021-05-07 00:00:00,105775.9311,66787697.811906,627.05,636.83,626.49,634.03,BNB/USDT,66677
2021-05-06 23:00:00,71033.8488,45128591.287698,633.99,638.49,631.26,637.34,BNB/USDT,48096
2021-05-06 22:00:00,71175.266,45170551.070856,637.34,637.5,630.62,632.51,BNB/USDT,50800
2021-05-06 21:00:00,51763.5829,32621633.799979,632.5,633.16,626.17,626.36,BNB/USDT,49667
2021-05-06 20:00:00,84315.7848,52847491.216894,626.35,632.5,623.51,631.91,BNB/USDT,57159
2021-05-06 19:00:00,117266.3514,73541863.606783,631.9,632.52,620.5,628.47,BNB/USDT,73483
2021-05-06 18:00:00,173844.1137,109412392.815333,628.47,639.46,620.0,636.22,BNB/USDT,116276
2021-05-06 17:00:00,79310.7892,50649279.069178,636.23,641.99,633.23,633.9,BNB/USDT,56533
2021-05-06 16:00:00,132930.4132,84694750.108379,633.9,641.68,632.08,639.42,BNB/USDT,79290
2021-05-06 15:00:00,98215.1405,62877863.361054,639.54,642.88,635.56,640.97,BNB/USDT,63546
2021-05-06 14:00:00,71711.419,46067154.659293,640.97,644.89,640.15,644.1,BNB/USDT,47855
2021-05-06 13:00:00,68541.5894,44011439.813629,644.22,644.61,640.0,643.4,BNB/USDT,53547
2021-05-06 12:00:00,90726.229,58483494.393257,643.39,648.8,640.0,648.13,BNB/USDT,59378
2021-05-06 11:00:00,70919.6087,46012780.394947,648.12,650.99,646.81,649.76,BNB/USDT,46304
2021-05-06 10:00:00,102447.2973,66516423.297819,649.75,652.6,644.26,645.56,BNB/USDT,67678
2021-05-06 09:00:00,53962.531,34723115.329295,645.56,645.64,640.16,641.71,BNB/USDT,39599
2021-05-06 08:00:00,61102.8285,39275136.946202,641.69,645.0,639.12,640.71,BNB/USDT,41909
2021-05-06 07:00:00,56734.0572,36205985.479652,640.74,641.15,633.0,636.13,BNB/USDT,39325
