time,quote_volume,base_volume,close,high,low,open,symbol,tradecount
2021-05-06 23:00:00,54674843.321814,33922852.34,1.6028,1.6308,1.5907,1.6289,XRP/USDT,48745
2021-05-06 22:00:00,55130758.209901,33866056.07,1.6287,1.65,1.6053,1.6399,XRP/USDT,55739
2021-05-06 21:00:00,58856484.771082,36382931.34,1.64,1.6415,1.5865,1.5937,XRP/USDT,54607
2021-05-06 20:00:00,61300400.33616,38347527.92,1.594,1.6226,1.5776,1.6194,XRP/USDT,69274
2021-05-06 19:00:00,121574761.744164,76237631.93,1.6194,1.6246,1.5582,1.592,XRP/USDT,118363
2021-05-06 18:00:00,235321318.003441,147491531.21,1.5923,1.6912,1.521,1.6802,XRP/USDT,235950
2021-05-06 17:00:00,74778602.135148,44143402.4,1.6801,1.7072,1.67,1.6736,XRP/USDT,66222
2021-05-06 16:00:00,137242737.58142,81359773.57,1.6735,1.715,1.6596,1.6665,XRP/USDT,132521
2021-05-06 15:00:00,80634845.776591,48288118.26,1.6665,1.6996,1.6389,1.6864,XRP/USDT,80401
2021-05-06 14:00:00,113186457.105886,67101686.7,1.6861,1.7174,1.6507,1.672,XRP/USDT,99086
2021-05-06 13:00:00,87611961.607902,52976971.0,1.672,1.6834,1.627,1.646,XRP/USDT,80177
2021-05-06 12:00:00,70535547.366454,42903661.51,1.6461,1.6617,1.63,1.6592,XRP/USDT,63728
2021-05-06 11:00:00,63541674.908561,38239369.38,1.6591,1.6759,1.65,1.672,XRP/USDT,59994
2021-05-06 10:00:00,81839328.762758,49084112.82,1.672,1.6859,1.6368,1.647,XRP/USDT,73518
2021-05-06 09:00:00,53900276.453456,32893941.77,1.647,1.6501,1.6213,1.6318,XRP/USDT,46475
2021-05-06 08:00:00,61325162.051588,37304552.46,1.6319,1.6628,1.6202,1.6566,XRP/USDT,54144
2021-05-06 07:00:00,97410657.985678,59584433.69,1.6563,1.6646,1.5882,1.6169,XRP/USDT,96534
2021-05-06 06:00:00,119256113.892191,72591325.22,1.6168,1.6953,1.6019,1.6953,XRP/USDT,102192
2021-05-06 05:00:00,60647107.037629,35915832.29,1.695,1.7038,1.6676,1.6853,XRP/USDT,49585
2021-05-06 04:00:00,72102515.89871,42398819.94,1.6853,1.7214,1.677,1.6948,XRP/USDT,60968
2021-05-06 03:00:00,64179436.810241,37774783.34,1.6949,1.7266,1.6726,1.7139,XRP/USDT,62428
